"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff";"conn_roman";"conn_ei";"diff_conn"
"1";"Lydda-Diospolis";"city";"Ludd";"city";0,301955854995223;0,429519154030327;0,127563299035104;12;7;-5
"2";"Iamneia";"settlement";"Yibnah";"settlement";0,178289506762532;0,15018954509178;-0,0280999616707523;6;7;1
"3";"Kafr Saba";"settlement";"Kafr Saba";"settlement";0,308562521997084;0,398643256185156;0,0900807341880718;6;6;0
"4";"Azotos";"city";"Isdud";"settlement";0,168334255115893;0,139016360734238;-0,0293178943816554;5;5;0
"5";"Raphia";"city";"Rafah";"settlement";0,0200211172004626;0,0172585794094174;-0,00276253779104517;4;4;0
"6";"Gaza";"city";"Gaza";"city";0,159686258735985;0,0752693535514765;-0,0844169051845083;8;6;-2
"7";"Rhinocolura";"settlement";"al-Arish";"settlement";0,00729046206445774;0;-0,00729046206445774;5;2;-3
"8";"Damascus";"city";"Damascus";"city";1;0,914156025538707;-0,0858439744612929;11;8;-3
"9";"Kisweh";"node";"Kiswah";"settlement";0,694222937302026;0,675728252194733;-0,0184946851072936;5;5;0
"10";"Karnaia-Astaroth";"settlement";"Dayr Ayyub";"settlement";0,0761526471919151;0,674930167597765;0,59877752040585;5;6;1
"11";"Neue";"settlement";"Nawa";"settlement";0,0730454019809945;0,672585794094174;0,599540392113179;6;5;-1
"12";"Tyre";"city";"Sur";"city";0,251505857509176;0,280875897845172;0,0293700403359957;7;5;-2
"13";"Heliopolis";"city";"Baalbak";"settlement";0,0884307908894364;0,323772944932163;0,235342154042726;6;6;0
"14";"Triparadeisos";"settlement";"Jusiyah";"settlement";0,103625119412741;0,353651237031125;0,250026117618385;6;6;0
"15";"Emesa";"city";"Hims";"city";0,96105384886118;1;0,0389461511388205;9;10;1
"16";"Arethousa";"settlement";"Rastan";"settlement";0,796882698979335;0,930167597765363;0,133284898786028;4;4;0
"17";"Hama-Epiphaneia";"city";"Hama";"city";0,793151993564282;0,925179569034318;0,132027575470036;5;6;1
"18";"Telmenissos";"station";"Tall Mannas";"settlement";0,704962542108703;0,844473264166002;0,139510722057298;5;6;1
"19";"Chalcis ad Belum";"city";"Qinnasrin";"city";0,703926793705063;0,86188148443735;0,157954690732287;7;7;0
"20";"Antiochia";"city";"Antakya";"city";0,133340037206496;0,1545790103751;0,0212389731686037;8;7;-1
"21";"Beroia";"city";"Halab";"city";0,640615415556338;0,68086592178771;0,0402505062313718;7;9;2
"22";"Gephyra";"settlement";"Jisr al-Jadid";"bridge";0,0575795665946;0,0302773343974461;-0,0273022321971539;6;4;-2
"23";"Batna";"city";"Buzaa";"settlement";0,119734526622756;0,313497605746209;0,193763079123453;5;4;-1
"24";"Hierapolis-Bambyke";"city";"Manbij";"settlement";0,139494192769873;0,389714684756584;0,250220491986711;6;7;1
"25";"Pagrae";"settlement";"Baghras";"settlement";0,102237417668058;0,116969273743017;0,014731856074959;6;6;0
"26";"Alexandria ad Issum";"city";"Iskandarunah";"settlement";0,0434712655236563;0;-0,0434712655236563;5;2;-3
"27";"Samosata";"city";"Sumaysat";"city";0,160802453617578;0,215682362330407;0,0548799087128295;7;7;0
"28";"Edessa-Antiochia ad Callirhoem";"city";"Ruha";"city";0,00613404394388858;0;-0,00613404394388858;5;2;-3
"29";"Adiyaman east";"node";"node_8";"node";0,0136055105837398;0,0204010375099761;0,0067955269262363;6;6;0
"30";"Kersin";"node";"node_9";"node";0,111106641862336;0,102204708699122;-0,00890193316321385;5;5;0
"31";"Lidar";"settlement";"node_14";"node";0,160370053798582;0,0344672785315243;-0,125902775267058;3;6;3
"32";"Thiltauri";"station";"node_39";"node";0,114998240233295;0,309457302474062;0,194459062240767;4;5;1
"33";"Abila Lysaniou";"city";"node_63";"node";0,0247976268289004;0,0213487629688747;-0,0034488638600257;5;5;0
"34";"Bir el Abd";"settlement";"node_74";"node";0,321363567801297;0,434557063048683;0,113193495247386;8;6;-2
"35";"Bethelea";"settlement";"node_83";"node";0,161124239529388;0,0904329608938547;-0,0706912786355333;5;5;0
