"";"name_roman";"type_roman";"name_em";"type_em";"betRom";"betEM";"diff";"conn_roman";"conn_em";"diff_conn"
"1";"Lydda-Diospolis";"city";"Ludd";"city";0,301955854995223;0,344520730569257;0,0425648755740339;12;8;-4
"2";"Nysa-Scythopolis";"city";"Baysan";"city";0,651435466840967;0,426609785361952;-0,224825681479016;10;10;0
"3";"Kafr Saba";"settlement";"Kafr Saba";"settlement";0,308562521997084;0,416044527396347;0,107482005399263;6;4;-2
"4";"Raphia";"city";"Rafah";"settlement";0,0200211172004626;0,0136981735768564;-0,00632294362360615;4;4;0
"5";"Gaza";"city";"Gaza";"city";0,159686258735985;0,0409612051726436;-0,118725053563341;8;5;-3
"6";"Beth Govrin-Eleutheropolis";"city";"Bayt Jibrin";"settlement";0,103434059027603;0,0777896280495934;-0,0256444309780098;5;6;1
"7";"Rhinocolura";"settlement";"al-Arish";"settlement";0,00729046206445774;0;-0,00729046206445774;5;2;-3
"8";"Damascus";"city";"Damascus";"city";1;0,841621117184375;-0,158378882815625;11;9;-2
"9";"Kisweh";"node";"Kiswah";"settlement";0,694222937302026;0,666377816291161;-0,027845121010865;5;5;0
"10";"Karnaia-Astaroth";"settlement";"Dayr Ayyub";"settlement";0,0761526471919151;0,10908545527263;0,0329328080807152;5;4;-1
"11";"Neue";"settlement";"Nawa";"settlement";0,0730454019809945;0,113651513131582;0,0406061111505879;6;4;-2
"12";"Sidon";"city";"Sayda";"city";0,256201920659661;0,303926143180909;0,0477242225212481;5;4;-1
"13";"Beirut";"city";"Bayrut";"city";0,253768414701594;0,321157179042794;0,0673887643412004;6;4;-2
"14";"Tripolis";"city";"Atrabulus";"city";0,178098446377395;0,309058792161045;0,130960345783651;4;4;0
"15";"Heliopolis";"city";"Baalbak";"settlement";0,0884307908894364;0,284028796160512;0,195598005271076;6;7;1
"16";"Triparadeisos";"settlement";"Jusiyah";"settlement";0,103625119412741;0,337255032662312;0,233629913249571;6;7;1
"17";"Emesa";"city";"Hims";"city";0,96105384886118;1;0,0389461511388205;9;11;2
"18";"Antarados-Constantia";"city";"Tartus";"settlement";0,0996027955151089;0,155345953872817;0,0557431583577081;4;4;0
"19";"Balanea-Leukas";"city";"Bulunyas";"settlement";0,104932374679471;0,137248366884415;0,0323159922049444;5;5;0
"20";"Salamias";"settlement";"Salamiyah";"settlement";0,119221680325808;0,0651246500466604;-0,0540970302791478;4;4;0
"21";"Geroda";"station";"Jarud";"settlement";0,119885363768917;0,180109318757499;0,0602239549885815;2;4;2
"22";"Nazala";"settlement";"Qaryatayn";"settlement";0,137432751772336;0,130815891214505;-0,00661686055783173;6;4;-2
"23";"Arethousa";"settlement";"Rastan";"settlement";0,796882698979335;0,864984668710839;0,0681019697315033;4;4;0
"24";"Hama-Epiphaneia";"city";"Hama";"city";0,793151993564282;0,860918544194107;0,0677665506298256;5;6;1
"25";"Seriane";"settlement";"Ithriya";"place";0,110925637286943;0,0555925876549793;-0,0553330496319632;7;5;-2
"26";"Gabala";"city";"Jabalah";"settlement";0,0926542309819498;0,110085321957072;0,0174310909751226;4;4;0
"27";"Laodicea";"city";"Ladhiqiya";"city";0,0899693297802806;0,0376616451139848;-0,0523076846662958;5;4;-1
"28";"Beroia";"city";"Halab";"city";0,640615415556338;0,728102919610719;0,0874875040543809;7;10;3
"29";"Pagrae";"settlement";"Baghras";"settlement";0,102237417668058;0,0373616851086522;-0,0648757325594055;6;6;0
"30";"Batna";"city";"al-Bab";"settlement";0,119734526622756;0,107052393014265;-0,0126821336084915;5;5;0
