"";"name_roman";"type_roman";"name_lm";"type_lm";"betRom";"betLM";"diff";"conn_roman";"conn_lm";"diff_conn"
"1";"Lydda-Diospolis";"city";"Ludd";"city";0,301955854995223;0,356196341918626;0,0542404869234029;12;8;-4
"2";"Nysa-Scythopolis";"city";"Baysan";"city";0,651435466840967;0,377037451785492;-0,274398015055475;10;9;-1
"3";"Kafr Saba";"settlement";"Kafr Saba";"settlement";0,308562521997084;0,418564140848575;0,110001618851492;6;4;-2
"4";"Raphia";"city";"Rafah";"settlement";0,0200211172004626;0,01334453154162;-0,00667658565884256;4;4;0
"5";"Gaza";"city";"Gaza";"city";0,159686258735985;0,0530981709593132;-0,106588087776672;8;5;-3
"6";"Beth Govrin-Eleutheropolis";"city";"Bayt Jibrin";"settlement";0,103434059027603;0,0763966654224213;-0,0270373936051819;5;6;1
"7";"Rhinocolura";"settlement";"al-Arish";"settlement";0,00729046206445774;0;-0,00729046206445774;5;2;-3
"8";"Damascus";"city";"Damascus";"city";1;0,866834639790967;-0,133165360209033;11;9;-2
"9";"Kisweh";"node";"Kiswah";"settlement";0,694222937302026;0,727199203682966;0,0329762663809401;5;4;-1
"10";"Khirbet et-Taybeh";"node";"Khan Dannun";"station";0,679571622504902;0,72511509269628;0,0455434701913775;5;5;0
"11";"Sidon";"city";"Sayda";"city";0,256201920659661;0,302413836008461;0,0462119153487998;5;4;-1
"12";"Beirut";"city";"Bayrut";"city";0,253768414701594;0,321917382107752;0,0681489674061578;6;4;-2
"13";"Tripolis";"city";"Atrabulus";"city";0,178098446377395;0,308510638297872;0,130412191920478;4;4;0
"14";"Heliopolis";"city";"Baalbak";"settlement";0,0884307908894364;0,29006470075899;0,201633909869553;6;7;1
"15";"Triparadeisos";"settlement";"Jusiyah";"settlement";0,103625119412741;0,323379370411845;0,219754250999105;6;7;1
"16";"Emesa";"city";"Hims";"city";0,96105384886118;1;0,0389461511388205;9;11;2
"17";"Antarados-Constantia";"city";"Tartus";"settlement";0,0996027955151089;0,14059972626602;0,0409969307509108;4;4;0
"18";"Balanea-Leukas";"city";"Bulunyas";"settlement";0,104932374679471;0,143461490605947;0,0385291159264764;5;5;0
"19";"Salamias";"settlement";"Salamiyah";"settlement";0,119221680325808;0,0646074405872838;-0,0546142397385244;4;4;0
"20";"Geroda";"station";"Jarud";"settlement";0,119885363768917;0,178953589647879;0,0590682258789611;2;4;2
"21";"Nazala";"settlement";"Qaryatayn";"settlement";0,137432751772336;0,130707975612791;-0,00672477615954561;6;4;-2
"22";"Arethousa";"settlement";"Rastan";"settlement";0,796882698979335;0,842665173572228;0,0457824745928932;4;4;0
"23";"Hama-Epiphaneia";"city";"Hama";"city";0,793151993564282;0,838185890257559;0,045033896693277;5;6;1
"24";"Seriane";"settlement";"Ithriya";"place";0,110925637286943;0,0545912653975364;-0,0563343718894061;7;5;-2
"25";"Gabala";"city";"Jabalah";"settlement";0,0926542309819498;0,111546596988926;0,0188923660069764;4;4;0
"26";"Laodicea";"city";"Ladhiqiya";"city";0,0899693297802806;0,0372340425531915;-0,0527352872270891;5;4;-1
"27";"Beroia";"city";"Halab";"city";0,640615415556338;0,689280826178923;0,0486654106225848;7;10;3
"28";"Pagrae";"settlement";"Baghras";"settlement";0,102237417668058;0,0363941769316909;-0,0658432407363668;6;6;0
"29";"Batna";"city";"al-Bab";"settlement";0,119734526622756;0,104392186139107;-0,0153423404836497;5;5;0
"30";"Alexandria ad Issum";"city";"Iskandarunah";"settlement";0,0434712655236563;0;-0,0434712655236563;5;2;-3
"31";"Doliche";"city";"Duluk";"settlement";0,158871738146714;0,471164613661814;0,3122928755151;6;6;0
"32";"Melitene";"settlement";"Malatya";"settlement";0,0158680677761577;0,027311185765833;0,0114431179896753;8;7;-1
"33";"Tharsa";"settlement";"Turush";"settlement";0,00786364321987028;0,210930695533159;0,203067052313289;4;5;1
"34";"Ağcin";"node";"Sanja Bridge";"bridge";0,0145608125094273;0,223217618514371;0,208656806004944;5;4;-1
"35";"Nisus";"station";"Kaysum";"settlement";0,00056312534566846;0,0289287047405748;0,0283655793949064;4;6;2
"36";"Birtha";"settlement";"al-Birah";"settlement";0,00109608326210468;0,0357098419808386;0,0346137587187339;2;3;1
"37";"Ad Zociandem";"settlement";"Nasibin as-Saghira";"settlement";0,311287646437729;0,0470324748040314;-0,264255171633698;5;5;0
"38";"Ariseria-Ad Serta";"station";"Tall Bashir";"settlement";0,313650761727588;0,0751524200572353;-0,238498341670353;4;7;3
"39";"Ad Medera";"station";"Khan al-Qusayr";"station";0,950565639298104;0,82832524573846;-0,122240393559645;4;4;0
"40";"Khan Aiyash";"site";"Khan Ayash";"station";0,976318568052692;0,827889759860645;-0,148428808192048;6;4;-2
"41";"Orthosia";"settlement";"Khan al-Abda";"station";0,177967720850722;0,308044046285928;0,130076325435206;5;2;-3
"42";"Tell Seirawan";"site";"al-Qusayr al-Muini";"station";0,0488511237367389;0,0229252208535523;-0,0259259028831866;5;4;-1
"43";"Abila Lysaniou";"city";"Khan Maysalun";"station";0,0247976268289004;0,042615403757621;0,0178177769287206;5;8;3
"44";"Dion";"city";"Muzayrib";"station";0,0703906682085575;0,10591638671146;0,035525718502902;6;4;-2
"45";"Galgulis";"settlement";"Khan Jaljuliyah";"station";0,297450852229876;0,384129650367052;0,0866787981371765;6;4;-2
"46";"Bir el Abd";"settlement";"Khan Qaqun";"station";0,321363567801297;0,444133383103148;0,122769815301851;8;4;-4
"47";"Chalcis ad Belum";"city";"Khan Qinnasrin";"station";0,703926793705063;0,567966903073286;-0,135959890631777;7;4;-3
"48";"Aere";"settlement";"Sanamayn";"settlement";0,0203931821609935;0,372464850068433;0,35207166790744;5;8;3
"49";"Beth Ther";"station";"Khan at-Tira";"station";0,306340188043642;0,426216249844469;0,119876061800827;4;4;0
"50";"Maraccas";"settlement";"Marqiya";"settlement";0,0966564432600935;0,117892248351375;0,0212358050912814;4;4;0
"51";"BUgaydid";"site";"Bughaydid";"settlement";0,0799637990849213;0,0592260793828543;-0,020737719702067;4;4;0
"52";"Khan el-Jennajil";"fort";"Julayjil";"station";0,118789280506813;0,15478412342914;0,0359948429223274;2;4;2
"53";"Khan el-Abyad";"fort";"al-Masna";"station";0,117753532103173;0,142746049520966;0,0249925174177929;2;4;2
"54";"Laodicea ad Libanum";"city";"Qadas";"station";0,105223993162049;0,0415266890630832;-0,0636973040989661;6;4;-2
"55";"Pegai-Antipatris";"city";"al-Awja";"station";0,291095580471617;0,379557048649994;0,0884614681783763;5;5;0
"56";"Adiyaman east";"node";"node_10";"node";0,0136055105837398;0,0659138982207291;0,0523083876369894;6;5;-1
"57";"Fıstıklıdağ";"site";"node_16";"node";0,0520589270451003;0,23752644021401;0,18546751316891;6;5;-1
"58";"Paltos";"settlement";"node_44";"node";0,0997033536125496;0,126913027248973;0,0272096736364238;4;5;1
"59";"Marathos";"city";"node_48";"node";0,115712202725124;0,148656215005599;0,0329440122804747;5;5;0
"60";"Arca-Caesarea ad Libanum";"city";"node_53";"node";0,0717984815727286;0,308821699639169;0,23702321806644;6;6;0
"61";"Bethelea";"settlement";"node_72";"node";0,161124239529388;0,0807515242005724;-0,0803727153288157;5;6;1
