"";"name_mi";"type_mi";"name_em";"type_em";"betMI";"betEM";"diff"
"1";"Ramla";"city";"Ramla";"city";0,3341792288463;0,267164378082922;-0,0670148507633773
"2";"Bayt Maqdis";"city";"Bayt Maqdis";"city";0,15248844784486;0,112951606452473;-0,0395368413923872
"3";"Imwas";"settlement";"Imwas";"settlement";0,0399212180895387;0,0273630182642314;-0,0125581998253072
"4";"Karyat al-Inab";"settlement";"Karyat al-Inab";"settlement";0,0262101355957882;0,0208305559258765;-0,00537957966991165
"5";"Ludd";"city";"Ludd";"city";0,390614347397924;0,344520730569257;-0,046093616828667
"6";"Yaffa";"settlement";"Yaffa";"settlement";0,0185592000606015;0,00239968004266098;-0,0161595200179405
"7";"Yibnah";"settlement";"Yibnah";"settlement";0,0559427316112416;0,0388948140247967;-0,0170479175864449
"8";"al-Fudain";"station";"al-Fudain";"station";0,275320051511249;0,232935608585522;-0,0423844429257272
"9";"Adhraat";"settlement";"Adhraat";"settlement";0,0763957275963942;0,0274630049326756;-0,0489327226637186
"10";"Ramtha";"settlement";"Ramtha";"settlement";0,0755245814711007;0,0709905345953873;-0,0045340468757134
"11";"Khirbat as-Samra";"settlement";"Khirbat as-Samra";"settlement";0,269335656389667;0,227936275163312;-0,0413993812263559
"12";"Zarqa";"station";"Zarqa";"station";0,26535868494811;0,248233568857486;-0,0171251160906243
"13";"Ariha";"settlement";"Ariha";"settlement";0,161199909097796;0,189474736701773;0,0282748276039775
"14";"Baysan";"city";"Baysan";"city";0,419740928717521;0,426609785361952;0,00686885664443038
"15";"Fiq";"settlement";"Fiq";"settlement";0,295091280963563;0,283595520597254;-0,0114957603663097
"16";"Khan al-Aqaba";"station";"Khan al-Aqaba";"station";0,320013635330657;0,301693107585655;-0,0183205277450015
"17";"Fasail";"settlement";"Fasail";"settlement";0,125975304901144;0,157479002799627;0,0315036978984828
"18";"Kafr Saba";"settlement";"Kafr Saba";"settlement";0,454738277403227;0,416044527396347;-0,0386937500068799
"19";"Qalansuwa";"settlement";"Qalansuwa";"settlement";0,461631694568593;0,433342221037195;-0,0282894735313982
"20";"Rafah";"settlement";"Rafah";"settlement";0,0148852359669722;0,0136981735768564;-0,00118706239011578
"21";"Gaza";"city";"Gaza";"city";0,0452238466782819;0,0409612051726436;-0,0042626415056383
"22";"Maimas";"settlement";"Maimas";"settlement";0;0;0
"23";"Bureir";"settlement";"Bureir";"settlement";0,01776380577229;0,0123983468870817;-0,00536545888520826
"24";"Sukkariya";"station";"Sukkariya";"station";0,033936822967957;0,0140647913611518;-0,0198720316068051
"25";"Bayt Jibrin";"settlement";"Bayt Jibrin";"settlement";0,114120142413454;0,0777896280495934;-0,0363305143638601
"26";"al-Arish";"settlement";"al-Arish";"settlement";0;0;0
"27";"Bayt Lahm";"settlement";"Bayt Lahm";"settlement";0,0770774941292326;0,0585921877083056;-0,0184853064209271
