"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"1";"Jerusalem";"city";"Bayt Maqdis";"city";0,321142339986927;0,209347565841979;-0,111794774144948
"2";"Emmaus-Nicopolis";"city";"Imwas";"settlement";0,0212378701794962;0,0504289704708699;0,0291911002913737
"3";"Kiriath Yearim";"settlement";"Karyat al-Inab";"settlement";0,00962340992508422;0,0451416600159617;0,0355182500908775
"4";"Lydda-Diospolis";"city";"Ludd";"city";0,301955854995223;0,429519154030327;0,127563299035104
"5";"Ioppe";"city";"Yaffa";"settlement";0,0640856754990196;0,0464385474860335;-0,017647128012986
"6";"Iamneia";"settlement";"Yibnah";"settlement";0,178289506762532;0,15018954509178;-0,0280999616707523
"7";"el-Fedein";"settlement";"al-Fudain";"station";0,00293629644527126;0,28840782122905;0,285471524783779
"8";"Adraha";"city";"Adhraat";"settlement";0,0803358640454523;0,359537110933759;0,279201246888307
"9";"Ramtha East";"node";"Ramtha";"settlement";0,055679018552969;0,0759676775738228;0,0202886590208538
"10";"Hatita";"settlement";"Khirbat as-Samra";"settlement";0,280295640806476;0,281474461292897;0,00117882048642109
"11";"Gadda";"fort";"Zarqa";"station";0,276343707577053;0,275688347964884;-0,000655359612168338
"12";"Jericho";"settlement";"Ariha";"settlement";0,339745588013475;0,433709098164405;0,0939635101509307
"13";"Maledomnei";"fort";"Khan Hathrura";"station";0,286409573130876;0,193435754189944;-0,0929738189409322
"14";"Nysa-Scythopolis";"city";"Baysan";"city";0,651435466840967;0,471717877094972;-0,179717589745995
"15";"Apheka";"settlement";"Fiq";"settlement";0,547971240384132;0,343276137270551;-0,204695103113581
"16";"Phasaelis";"settlement";"Fasail";"settlement";0,270119161345467;0,347665602553871;0,0775464412084034
"17";"Kafr Saba";"settlement";"Kafr Saba";"settlement";0,308562521997084;0,398643256185156;0,0900807341880718
"18";"Azotos Paralios";"settlement";"Mahuz Azdud";"fort";0;0;0
"19";"Azotos";"city";"Isdud";"settlement";0,168334255115893;0,139016360734238;-0,0293178943816554
"20";"Iamneia Paralios";"settlement";"Mahuz Yubna";"fort";0;0;0
"21";"Beth Ther";"station";"Qalansuwa";"settlement";0,306340188043642;0,402883080606544;0,0965428925629021
"22";"Raphia";"city";"Rafah";"settlement";0,0200211172004626;0,0172585794094174;-0,00276253779104517
"23";"Gaza";"city";"Gaza";"city";0,159686258735985;0,0752693535514765;-0,0844169051845083
"24";"Gazaion Limen";"settlement";"Maimas";"settlement";0;0;0
"25";"Agla";"settlement";"Sukkariya";"station";0,00620443461209714;0,108489624900239;0,102285190288142
"26";"Beth Govrin-Eleutheropolis";"city";"Bayt Jibrin";"settlement";0,103434059027603;0,051975259377494;-0,0514587996501092
"27";"Rhinocolura";"settlement";"al-Arish";"settlement";0,00729046206445774;0;-0,00729046206445774
"28";"Ascalon";"city";"Asqalan";"city";0,159615868067776;0;-0,159615868067776
"29";"Bethlehem";"settlement";"Bayt Lahm";"settlement";0,287515712202725;0,113527533918595;-0,17398817828413
"30";"Hebron";"settlement";"Masjid Ibrahim";"settlement";0,304741314294334;0,109586991221069;-0,195154323073264
"31";"Zoara";"settlement";"Sughar";"settlement";0,0505304439640002;0,0205506783719074;-0,0299797655920928
"32";"Tzukim";"node";"Ayn Ghamr";"station";0,0802956408064759;0,0838487629688747;0,00355312216239875
"33";"Arieldela";"settlement";"Ayn Gharandal";"station";0,00985469354919805;0,0663906624102155;0,0565359688610174
"34";"Ossia-Ad Dianam";"fort";"Ayn Ghadhian";"station";0,0295138015988737;0,0498802873104549;0,0203664857115812
"35";"Aila-Aelana";"settlement";"Wayla";"settlement";0,0150334355673991;0,0351656025538707;0,0201321669864716
"36";"Apollonia-Sozousa";"city";"Arsuf";"settlement";0,0696565940972397;0,0555666400638468;-0,0140899540333929
"37";"Caesarea Maritima";"city";"Qaysariyyah";"city";0,1859017547388;0,0664904229848364;-0,119411331753964
"38";"Neapolis 1";"city";"Nablus";"settlement";0,124400422344009;0,10195530726257;-0,0224451150814394
"39";"Damascus";"city";"Damascus";"city";1;0,914156025538707;-0,0858439744612929
"40";"Kisweh";"node";"Kiswah";"settlement";0,694222937302026;0,675728252194733;-0,0184946851072936
"41";"Gasima";"settlement";"Jasim";"settlement";0,063894615113882;0,6655526735834;0,601658058469518
"42";"Karnaia-Astaroth";"settlement";"Dayr Ayyub";"settlement";0,0761526471919151;0,674930167597765;0,59877752040585
"43";"Hippos";"city";"Susiya";"settlement";0,551893006184323;0,00628491620111732;-0,545608089983206
"44";"Tiberias";"city";"Tabariyya";"city";0,0677962692945849;0,465383080606544;0,397586811311959
"45";"Philoteria";"settlement";"Sinnabra";"settlement";0,040524913268641;0,0456404628890662;0,00511554962042528
"46";"Neue";"settlement";"Nawa";"settlement";0,0730454019809945;0,672585794094174;0,599540392113179
"47";"Sobata";"settlement";"Isbeita";"settlement";0,00578209060284579;0,0184058260175579;0,0126237354147121
"48";"Elousa";"city";"Halusah";"settlement";0,0671024184222434;0,0256384676775738;-0,0414639507446696
"49";"Eboda";"settlement";"Avdat";"settlement";0,0186434712655237;0,00842976855546688;-0,0102137027100568
"50";"Gerar";"settlement";"Khirbat Futeis";"settlement";0,00756196892754789;0,0924780526735834;0,0849160837460355
"51";"Berosaba";"settlement";"Bir Saba";"settlement";0,0533460706923425;0,0380586592178771;-0,0152874114744654
"52";"Mampsis";"settlement";"Mamshit";"settlement";0,176207954145508;0,0470869912210694;-0,129120962924438
"53";"Nessana";"settlement";"Auja";"settlement";0,0790487203982101;0,0336193136472466;-0,0454294067509635
"54";"Betomolachon";"settlement";"Ruheibe";"settlement";0,0128915480919101;0,0499301675977654;0,0370386195058553
"55";"Dora";"city";"Kafr Lam";"fort";0,175765498516768;0,0667398244213887;-0,109025674095379
"56";"Legio";"fort";"Lajjun";"settlement";0,0998340791392227;0,492767358339984;0,392933279200761
"57";"Sepphoris-Diocaesarea";"city";"Saffuriya";"settlement";0,0327819397656996;0,0109736632083001;-0,0218082765573996
